date,window_length,beta,abs_beta_change,eg_pval,adf_pval,phi_hat,half_life,spread_std,spread_daily_chg_std,eg_pass,adf_pass,strict_pass
2020-01-31,500,0.9773806589082644,,0.003285387943339923,2.9109779071390986e-05,0.9505018884203704,13.654001803898542,0.05720136014087364,0.017456409883209505,1,1,1
2020-02-29,500,0.9346579534237336,0.04272270548453083,0.002149591265991667,1.7856525038265292e-05,0.9537657566141847,14.642765828358026,0.056328766038075365,0.016861199122240437,1,1,1
2020-03-31,500,0.8500477925530935,0.0846101608706401,6.595105599551577e-05,4.0281639478270736e-07,0.9414852838425201,11.4956336269514,0.05257971356293562,0.016522755745107923,1,1,1
2020-04-30,500,0.7440163944915031,0.10603139806159034,0.0008609646848425367,6.373354587534462e-06,0.9361027690116928,10.4974564366541,0.04501195404973039,0.01586567771971076,1,1,1
2020-05-31,500,0.7186585928348994,0.02535780165660373,0.0013875195210006444,1.0866463944715435e-05,0.9389869525824983,11.010428884915932,0.04462679979894881,0.015544632112090917,1,1,1
2020-06-30,500,0.6902264731464017,0.02843211968849768,0.0018227118820952758,1.4795860088518784e-05,0.9398171158573002,11.167188676692383,0.04445075700291782,0.015422067448390694,1,1,1
2020-07-31,500,0.6072113852716328,0.08301508787476897,0.01241682403155268,0.0001427226527590177,0.9460738541613614,12.503862973655242,0.04565436281934513,0.015187696891237409,1,1,1
2020-08-31,500,0.545092233079199,0.0621191521924338,0.0179551069518961,0.00022620507382077043,0.9484936600591456,13.107883932298911,0.046509701193928436,0.014966100386153485,1,1,1
2020-09-30,500,0.5568570716812371,0.011764838602038141,0.01284550087048635,0.00014884022834813667,0.947157628373014,12.76755166617941,0.04666073938715289,0.015217829449032255,1,1,1
2020-10-31,500,0.6064594300105228,0.04960235832928572,0.0052003633789583555,4.986785365363439e-05,0.9482620750512065,13.047632431007347,0.047319951520485674,0.015234372483180348,1,1,1
2020-11-30,500,0.6079638438835755,0.001504413873052668,0.004517085207909244,4.22317538827692e-05,0.9479340088835133,12.963196642842568,0.046983281897642795,0.015169308854110391,1,1,1
2020-12-31,500,0.6219063106761281,0.013942466792552621,0.0040817006814595136,3.749455046681128e-05,0.9486668167164568,13.153289239484259,0.04718831719254251,0.015114371705652722,1,1,1
2021-01-31,500,0.6477737836254679,0.025867472949339776,0.004631534869070567,4.349397400209725e-05,0.9468697981062466,12.696471993756255,0.04766529807030329,0.015256942078967549,1,1,1
2021-02-28,500,0.6599239401919779,0.012150156566509973,0.003291762477476159,2.9175382288628296e-05,0.9436898200637139,11.95952591647451,0.047192291751278655,0.015352384090470355,1,1,1
2021-03-31,500,0.653400337108961,0.006523603083016916,0.0016873812903982772,1.3555265901591135e-05,0.9448018132941657,12.207573485215145,0.04588109003667264,0.015078929825069223,1,1,1
2021-04-30,500,0.6550464549986301,0.0016461178896691742,0.006323638527618982,6.291835848265905e-05,0.9445958399604427,12.160876762955137,0.045139981504489536,0.015012970970478422,1,1,1
2021-05-31,500,0.6600321394933351,0.004985684494704934,0.003536549215985266,3.1713617489727095e-05,0.9445468959816827,12.149831547872429,0.04471260476385052,0.014903440910381186,1,1,1
2021-06-30,500,0.6634751120501196,0.003442972556784496,0.007259306278923097,7.42261504306319e-05,0.9406570321438936,11.330252126769409,0.043695079334020864,0.014840048602819175,1,1,1
2021-07-31,500,0.6522532553585448,0.011221856691574716,0.016015791577453115,0.0001959063791235831,0.9469302869228927,12.71134573019454,0.04403058497655605,0.01462577347253781,1,1,1
2021-08-31,500,0.6476396962603426,0.004613559098202269,0.0046648148460366485,4.3862301014286896e-05,0.9483074608268603,13.059397931202946,0.04470765401057212,0.014599317434965987,1,1,1
2021-09-30,500,0.6594650518972124,0.011825355636869817,0.028685575144925306,0.0004125106464534704,0.950136663302034,13.551410605071359,0.04598326130970434,0.014609168745163848,1,1,1
2021-10-31,500,0.6593883363127973,7.671558441513238e-05,0.0052738842864641184,5.070357586205954e-05,0.9448822998387919,12.225915597451163,0.044220478625615206,0.013509443839624017,1,1,1
2021-11-30,500,0.6633489922147587,0.003960655901961485,0.048051729487043365,0.0008194453658987474,0.9508292450170842,13.747250696894005,0.04186226180976541,0.013097556650942572,1,1,1
2021-12-31,500,0.6661080794931658,0.002759087278407013,0.0432358068193637,0.0007103093319630964,0.9489155741543572,13.219057268233021,0.040864650150836894,0.012898408105068905,1,1,1
2022-01-31,500,0.6768845403225532,0.010776460829387435,0.054798650332854186,0.0009808085856398527,0.9481800521028835,13.02642162552458,0.03945793824831043,0.012680594081618273,0,1,0
2022-02-28,500,0.6813568820354707,0.004472341712917549,0.024227801808818505,0.0003314411454386458,0.9489449463148643,13.2268651557104,0.0399105617596241,0.012790845588640996,1,1,1
2022-03-31,500,0.6750825007335974,0.0062743813018733,0.05355202598857525,0.0009502584909635939,0.9565105698715373,15.58914890364331,0.04047329153949468,0.01200440552645356,0,1,0
2022-04-30,500,0.6660904779343775,0.008992022799219956,0.07699450188417738,0.001579248384729663,0.9596386280242296,16.824575472616676,0.040160357659168235,0.01156270793587386,0,1,0
2022-05-31,500,0.6705506423169817,0.004460164382604215,0.06610938200609989,0.0012729716476716476,0.9595357014867812,16.78088603296961,0.04040432989956806,0.011445751887820108,0,1,0
2022-06-30,500,0.6875810613682163,0.01703041905123459,0.05326391373561568,0.0009432450829740506,0.9578327983464662,16.0890024698812,0.03990482564715478,0.011476759513259494,0,1,0
2022-07-31,500,0.6878244066778749,0.000243345309658638,0.0464472138419084,0.0007825192441177886,0.9578003640756899,16.076366361591933,0.038890271262404665,0.011015680405144604,1,1,1
2022-08-31,500,0.6542993202923498,0.033525086385525094,0.016188453840892913,0.00019855880656263097,0.9502541465710866,13.584247169776114,0.03652862750088823,0.010994724589513684,1,1,1
2022-09-30,500,0.625504071162081,0.028795249130268874,0.04278722049774837,0.0007004042438689111,0.9551330761584306,15.099732025069882,0.03580359737978568,0.010663084953560503,1,1,1
2022-10-31,500,0.6240544371377958,0.001449634024285107,0.09636806712693774,0.0021844585859884494,0.9615703363386585,17.68793748299041,0.0363855568816606,0.010281747401852288,0,1,0
2022-11-30,500,0.6022190056428965,0.021835431494899304,0.08181618376989397,0.001722699508647587,0.9614311354452167,17.622831660647474,0.036435818221589804,0.010112466797568042,0,1,0
2022-12-31,500,0.5848476906954033,0.01737131494749322,0.08556180179688067,0.0018374197392090777,0.9616588105704476,17.729563565695976,0.03643850313547654,0.010117826120449301,0,1,0
