# script_path: C:\Users\preet\OneDrive\Desktop\Skool\Arbit\analysis\claim003\codex\run_claim003_eg_halflife_ordering_robustness.py
# git_commit: dcd5f465aff03bbcf448a8e845767d364cfae098
# snapshot_id: tcs_infy_v1_2026-07-04
# timestamp_utc: 2026-07-06T09:30:39.968404+00:00
# output_content_sha256: 6d196cb9a957c14de74b7dc0152f40a738613c8895fe1edc98632010fc7a3419
# output_hash_scope: bytes after this provenance header
# final_file_sha256: recorded in output_manifest.csv
date,window_start_date,window_length,beta,alpha,engle_granger_p_value,adf_p_value,spread_phi,half_life
2022-01-31,2020-01-28,500,0.6768845403225504,3.107421915964297,0.054798650332854186,0.0009808085856401372,0.9481800521028837,13.026421625524636
2022-02-28,2020-02-26,500,0.681356882035472,3.076732041263345,0.024227801808818505,0.0003314411454385786,0.9489449463148641,13.226865155710371
2022-03-31,2020-03-27,500,0.6750825007335898,3.119037297346707,0.05355202598857525,0.0009502584909633377,0.956510569871536,15.589148903642862
2022-04-29,2020-04-29,500,0.666090477934373,3.1842818409914484,0.07699450188417738,0.0015792483847301892,0.9596386280242288,16.824575472616345
2022-05-31,2020-06-01,500,0.6705506423169862,3.1534928775780013,0.06610938200609989,0.001272971647671424,0.9595357014867808,16.780886032969423
2022-06-30,2020-07-01,500,0.6875810613682142,3.03178537190098,0.05326391373561568,0.0009432450829744588,0.9578327983464667,16.08900246988142
2022-07-29,2020-07-30,500,0.6878244066778804,3.0288313957474218,0.0464472138419084,0.0007825192441175084,0.957800364075692,16.076366361592754
2022-08-30,2020-08-27,500,0.6542993202923604,3.2702434169872205,0.016188453840892913,0.00019855880656238697,0.950254146571087,13.584247169776209
2022-09-30,2020-09-28,500,0.6255040711620943,3.476904344805926,0.04278722049774837,0.0007004042438688001,0.9551330761584308,15.099732025069958
2022-10-31,2020-10-26,500,0.6240544371378031,3.485720150022582,0.09636806712693774,0.002184458585987961,0.9615703363386576,17.687937482989994
2022-11-30,2020-11-24,500,0.6022190056429078,3.642686506652364,0.08181618376989397,0.0017226995086478474,0.9614311354452171,17.62283166064763
2022-12-30,2020-12-28,500,0.5848476906954055,3.7678931556720427,0.08556180179688067,0.00183741973920931,0.9616588105704474,17.729563565695923
2023-01-31,2021-01-27,500,0.5985476430923222,3.668883827301624,0.03985051615523341,0.0006366713402356554,0.958267694236541,16.260331149260537
2023-02-28,2021-02-24,500,0.6437197602745042,3.3419776120329834,0.10447115174655586,0.002460352628156812,0.9630426306918694,18.40656837299567
2023-03-31,2021-03-26,500,0.6318006835013293,3.429645818343149,0.11248492246278419,0.0027464605404739265,0.9642578453588513,19.044312235397445
2023-04-28,2021-04-26,500,0.5884179573811329,3.7454389841425537,0.4563601941038422,0.03117294072139448,0.976437717613881,29.069707784469166
2023-05-31,2021-05-27,500,0.49240459402037207,4.444913558804781,0.4142332354328669,0.02540826662019011,0.9779488586441848,31.08575765466625
2023-06-30,2021-06-25,500,0.4395473960780262,4.830729775703608,0.3788480585463021,0.02122359874771657,0.9775993236912526,30.595254109274993
2023-07-31,2021-07-27,500,0.4071639640908846,5.070099117303035,0.25330392472301916,0.010135116009611131,0.9745466021907526,26.8839470228344
2023-08-31,2021-08-27,500,0.3919573011903059,5.184924951052694,0.2908703940884625,0.012923479202820684,0.9758488877810013,28.352439098892557
2023-09-29,2021-09-27,500,0.36565294026921014,5.375090941823183,0.3550012512383346,0.018698930775790833,0.977266184128318,30.14179611881083
2023-10-31,2021-10-26,500,0.34381025953300354,5.5342533152308535,0.39972441184447616,0.023625340399706006,0.9791632259116969,32.917780773486825
2023-11-30,2021-11-25,500,0.35215066563152175,5.477553082102981,0.4174268984748752,0.025813906560585877,0.9798898976012352,34.11986367086207
2023-12-29,2021-12-23,500,0.3786860738990624,5.2910722797854515,0.7669027627364586,0.12880455184544493,0.9876968487072555,55.99170645908933
2023-04-28,2020-05-26,730,0.6640011992470499,3.199108475225857,0.09344489432714986,0.002088227911442587,0.9694236375127789,22.32101272432479
2023-05-31,2020-06-25,730,0.668910243974601,3.166951276356769,0.14935516952441702,0.004235374842075021,0.9748067092252787,27.165118138257014
2023-06-30,2020-07-24,730,0.6667701355612112,3.1849389753088304,0.09224649051128292,0.0020492812489975557,0.9749775766718644,27.353003923902197
2023-07-31,2020-08-24,730,0.6262438321342862,3.479912524975842,0.1379239700753937,0.0037430339915400738,0.9765825688024949,29.251682631632768
2023-08-31,2020-09-23,730,0.5794374571278269,3.8200879511816765,0.11919299598067007,0.00299614136388765,0.9763535254955339,28.96496266605074
2023-09-29,2020-10-22,730,0.560071356398572,3.962481620283156,0.36086762695234054,0.019299415077636217,0.9819169477404618,37.983687793628945
2023-10-31,2020-11-19,730,0.5211958875236222,4.246021257465704,0.2715388343964862,0.011438575348200536,0.9803624662175215,34.949339417204015
2023-11-30,2020-12-18,730,0.47356692125293753,4.592334324460344,0.2250263173784371,0.008236711178349431,0.9808296391454406,35.8095401131271
2023-12-29,2021-01-18,730,0.4622874997134683,4.677807336378033,0.5482676272479509,0.047552000059582045,0.9865088079649383,51.03039842129442
