# script_path: C:\Users\preet\OneDrive\Desktop\Skool\Arbit\analysis\claim003\codex\run_claim003_eg_halflife_ordering_robustness.py
# git_commit: dcd5f465aff03bbcf448a8e845767d364cfae098
# snapshot_id: tcs_infy_v1_2026-07-04
# timestamp_utc: 2026-07-06T09:30:39.968404+00:00
# output_content_sha256: d99669ce3b8985c1a3245dc4818f60cd7048ffdaf485a8c79bbfadce9b2cd0d0
# output_hash_scope: bytes after this provenance header
# final_file_sha256: recorded in output_manifest.csv
window_length,regime,start_date,end_date,n_days,alpha,beta,spread_ar_intercept,spread_phi,spread_phi_se,spread_phi_ci_low,spread_phi_ci_high,spread_ar_residual_std,spread_ar_residual_n,infy_return_mean,infy_return_phi,infy_return_phi_se,infy_return_residual_std,infy_return_residual_n,parameter_unstable
500,pre_core,2020-01-31,2021-12-31,477,3.124245443496924,0.6743206856606463,-2.768990063353936e-05,0.9503511162511916,0.01435870229330931,0.9222080597563054,0.9784941727460779,0.01253763722248942,476,0.001959695553063638,-0.08213700481704594,0.04575878439718959,0.020204293004535856,475,False
500,degradation,2022-01-03,2023-12-29,493,5.257343533636846,0.3833961591747145,0.00020776721751406108,0.988011742909168,0.008303330082983684,0.9717372159465201,1.004286269871816,0.009578884485256496,492,-0.00032471149857452687,0.08903638861227332,0.04502282143584881,0.01619132158200283,491,True
730,pre_core,2020-12-31,2023-03-31,559,3.771319960011308,0.5848544885697878,0.00010831570206948533,0.9618479776771665,0.011450388716486138,0.9394052157928536,0.9842907395614793,0.009777296594125384,558,0.00030363340048699473,0.09123893274646562,0.04239305937772475,0.015171005044784242,557,False
730,degradation,2023-04-03,2023-12-29,183,3.1703348599742407,0.6825299536670599,0.0005500963168905973,0.8833252635285977,0.030395369435760138,0.8237503394345079,0.9429001876226876,0.008633365432593501,182,0.0006356231010907825,0.1487614527978651,0.07380167806220832,0.015309644613788417,181,False
