date,TCS.NS,INFY.NS
2018-01-01,1069.2730712890625,406.448974609375
2018-01-02,1063.453125,404.93487548828125
2018-01-03,1066.4639892578125,401.631591796875
2018-01-04,1073.921142578125,399.31130981445312
2018-01-05,1086.894775390625,397.97427368164062
2018-01-08,1097.080078125,407.43203735351562
2018-01-09,1094.8975830078125,409.51632690429688
2018-01-10,1134.3447265625,413.8028564453125
2018-01-11,1127.837646484375,423.06399536132812
2018-01-12,1122.118408203125,424.10601806640625
2018-01-15,1109.8922119140625,425.1678466796875
2018-01-16,1152.2291259765625,441.56655883789062
2018-01-17,1167.6282958984375,453.06939697265625
2018-01-18,1179.449951171875,453.30526733398438
2018-01-19,1196.0616455078125,449.66763305664062
2018-01-22,1262.5430908203125,452.24349975585938
2018-01-23,1256.7093505859375,462.900634765625
2018-01-24,1286.1214599609375,466.32192993164062
2018-01-25,1264.4267578125,462.23211669921875
2018-01-29,1295.9456787109375,465.18161010742188
2018-01-30,1277.309814453125,460.36422729492188
2018-01-31,1260.902099609375,452.341796875
2018-02-01,1271.5369873046875,450.11990356445312
2018-02-02,1277.6337890625,449.58901977539062
2018-02-05,1257.1954345703125,447.60302734375
2018-02-06,1214.271728515625,435.62850952148438
2018-02-07,1197.17578125,436.13967895507812
2018-02-08,1204.9337158203125,446.0496826171875
2018-02-09,1203.9210205078125,436.17901611328125
2018-02-12,1202.13818359375,433.68185424804688
2018-02-14,1179.6534423828125,431.69598388671875
2018-02-15,1185.345947265625,438.2633056640625
2018-02-16,1188.2628173828125,443.61151123046875
2018-02-19,1184.434326171875,445.06655883789062
2018-02-20,1193.002685546875,447.1114501953125
2018-02-21,1232.5230712890625,451.22100830078125
2018-02-22,1235.723388671875,456.470947265625
2018-02-23,1246.094970703125,454.46536254882812
2018-02-26,1228.2283935546875,447.76031494140625
2018-02-27,1232.54296875,452.32211303710938
2018-02-28,1229.5858154296875,461.13104248046875
2018-03-01,1230.6593017578125,456.470947265625
2018-03-05,1258.268798828125,454.56369018554688
2018-03-06,1232.7255859375,452.7744140625
2018-03-07,1226.5068359375,449.92324829101562
2018-03-08,1216.986572265625,454.85861206054688
2018-03-09,1229.2012939453125,457.51315307617188
2018-03-12,1236.51318359375,466.30239868164062
2018-03-13,1169.525390625,465.53549194335938
2018-03-14,1169.56591796875,464.35574340820312
2018-03-15,1162.59765625,465.0242919921875
2018-03-16,1144.7718505859375,460.85577392578125
2018-03-19,1146.9193115234375,450.96536254882812
2018-03-20,1160.6329345703125,457.96530151367188
2018-03-21,1157.35107421875,459.12539672851562
2018-03-22,1147.06103515625,456.68743896484375
2018-03-23,1141.71337890625,459.16473388671875
2018-03-26,1141.247314453125,454.30807495117188
2018-03-27,1153.6849365234375,453.81661987304688
2018-03-28,1154.2724609375,445.08621215820312
