date,beta
2020-01-31,0.9773806589082644
2020-02-28,0.9346579534237336
2020-03-31,0.8500477925530935
2020-04-30,0.7440163944915031
2020-05-29,0.7186585928348994
2020-06-30,0.6902264731464017
2020-07-31,0.6072113852716328
2020-08-31,0.545092233079199
2020-09-30,0.5568570716812371
2020-10-30,0.6064594300105228
2020-11-27,0.6079638438835755
2020-12-31,0.6219063106761281
2021-01-29,0.6477737836254679
2021-02-26,0.6599239401919779
2021-03-31,0.653400337108961
2021-04-30,0.6550464549986301
2021-05-31,0.6600321394933351
2021-06-30,0.6634751120501196
2021-07-30,0.6522532553585448
2021-08-31,0.6476396962603426
2021-09-30,0.6594650518972124
2021-10-29,0.6593883363127973
2021-11-30,0.6633489922147587
2021-12-31,0.6661080794931658
