core,segment,mean_beta,std_beta,n,t_stat,p_value
500d,pre-split,0.8191646442263175,0.1197485351791141,6,,
500d,post-split,0.6351858585337573,0.03683241957804703,18,3.7053657939129416,0.012455857147911161
730d,pre-split,0.6733884562646137,0.028147344759563774,21,,
730d,post-split,0.6633099100365388,0.0085103761667775,7,1.4535938604216974,0.15804006283027172
