reward_at_dist0,position_in_path,is_regime_crossing
0.0234207135955561,0.03577817531305903,True
0.056988208510857064,0.07155635062611806,True
0.027239840741546395,0.1073345259391771,False
0.0757831490923131,0.14311270125223613,False
0.04796026120028252,0.17889087656529518,True
0.006285810571516933,0.2146690518783542,True
0.0577625904135779,0.2504472271914132,False
0.011911991869679102,0.28622540250447226,False
0.03961894988125003,0.3220035778175313,False
0.05596169271213114,0.35778175313059035,False
-0.027143282811311634,0.3935599284436494,True
0.018610050325207204,0.4293381037567084,False
0.00660426613635412,0.46511627906976744,False
0.04025719672270878,0.5008944543828264,True
-0.003814052490664054,0.5366726296958855,False
-0.005562246413392782,0.5724508050089445,True
0.024663901128842574,0.6082289803220036,False
0.021716500942761913,0.6440071556350626,True
0.002814675066930072,0.6797853309481217,True
-0.006943765474575869,0.7155635062611807,False
0.012625378662303177,0.7513416815742398,False
-0.000773270337838339,0.7871198568872988,False
0.01911589989292648,0.8228980322003577,True
0.06230595774328407,0.8586762075134168,False
0.03581915109341248,0.8944543828264758,True
0.023571613429061777,0.9302325581395349,False
0.006037713155286643,0.9660107334525939,True
0.08393757580545547,0.03577817531305903,False
0.004270297419674276,0.07155635062611806,False
0.0840324424688168,0.1073345259391771,False
0.0454727257411669,0.14311270125223613,False
0.05173608925267514,0.17889087656529518,False
0.06756861453223895,0.2146690518783542,True
0.04573270444815947,0.2504472271914132,True
-0.0009549973388324251,0.28622540250447226,True
-0.0015258714037530623,0.3220035778175313,False
0.00410192565220201,0.35778175313059035,True
0.06379669028882518,0.3935599284436494,False
0.003656215011488572,0.4293381037567084,False
-0.00570569415814357,0.46511627906976744,True
0.002284686014883003,0.5008944543828264,True
-0.005033961539136647,0.5366726296958855,False
0.043490890216579814,0.5724508050089445,False
-0.011312416110604387,0.6082289803220036,True
0.0009078957355784979,0.6440071556350626,False
0.01962486829213539,0.6797853309481217,True
0.08192967259477069,0.7155635062611807,True
-0.015643670216455147,0.7513416815742398,True
0.009324105636389746,0.7871198568872988,False
0.046675203373697016,0.8228980322003577,True
-0.00377313760864606,0.8586762075134168,False
0.07902647850279187,0.8944543828264758,False
0.0006181153462900824,0.9302325581395349,False
0.0973965467926785,0.9660107334525939,False
0.02750715399809689,0.03577817531305903,False
0.0069182517973282315,0.07155635062611806,True
-0.011233113095599379,0.1073345259391771,True
-0.011466556544173048,0.14311270125223613,True
0.06545343454101893,0.17889087656529518,False
-0.0073193418276682465,0.2146690518783542,True
0.06030658175216038,0.2504472271914132,True
0.041161407078731393,0.28622540250447226,False
0.034345081044152855,0.3220035778175313,False
0.0363966331544749,0.35778175313059035,True
0.08080345385188181,0.3935599284436494,True
-0.0007690003274559682,0.4293381037567084,False
-0.004244007463602473,0.46511627906976744,False
0.09155986164530017,0.5008944543828264,True
0.0211664103438915,0.5366726296958855,True
0.031497759821709576,0.5724508050089445,False
0.007418144612150926,0.6082289803220036,False
0.01140977626627719,0.6440071556350626,False
0.007799290203312494,0.6797853309481217,False
0.019258030754930853,0.7155635062611807,False
0.0006441033171631361,0.7513416815742398,False
0.05365814319693296,0.7871198568872988,False
0.02104386638636744,0.8228980322003577,False
0.02623884150728527,0.8586762075134168,True
0.07501656367968224,0.8944543828264758,True
0.03587450653116253,0.9302325581395349,False
0.0014682011891382469,0.9660107334525939,True
-0.00807076823067525,0.03577817531305903,False
0.01330487734755792,0.07155635062611806,False
-0.05868815288541257,0.1073345259391771,False
0.005756863839691676,0.14311270125223613,True
0.02219304308244041,0.17889087656529518,False
-0.00837850286117334,0.2146690518783542,True
0.0409865022316877,0.2504472271914132,True
0.0009528328945201176,0.28622540250447226,False
-0.006043542551439709,0.3220035778175313,True
0.002186996543336983,0.35778175313059035,True
0.01922264543974883,0.3935599284436494,True
0.12474464614914371,0.4293381037567084,False
-0.007273147707772765,0.46511627906976744,False
0.0055694630725978845,0.5008944543828264,False
0.006339470584952563,0.5366726296958855,False
0.00332051205722075,0.5724508050089445,True
0.0005553308740865637,0.6082289803220036,True
0.01630125003844629,0.6440071556350626,True
0.016353902959938185,0.6797853309481217,True
0.08872185509915642,0.7155635062611807,True
-0.004958145783101539,0.7513416815742398,False
-0.0026799919209875376,0.7871198568872988,False
0.03653163920693374,0.8228980322003577,True
0.011503443090449006,0.8586762075134168,False
0.07244832511867827,0.8944543828264758,False
0.005607627061241648,0.9302325581395349,True
0.11821413008646076,0.9660107334525939,True
0.04326977656018549,0.03577817531305903,False
-0.006302014893168963,0.07155635062611806,False
0.05848948676729293,0.1073345259391771,False
-0.006426301566298563,0.14311270125223613,False
0.012966926421491935,0.17889087656529518,False
-0.03124117148346939,0.2146690518783542,False
0.013108113611166424,0.2504472271914132,False
-0.0015422538831552984,0.28622540250447226,False
0.05439046420413988,0.3220035778175313,False
0.011880853934874043,0.35778175313059035,False
0.09925747454789846,0.3935599284436494,False
0.07303843048052627,0.4293381037567084,True
0.0011604885091990756,0.46511627906976744,True
0.016276345032486022,0.5008944543828264,False
0.017635557581334657,0.5366726296958855,True
