# script_path: C:\Users\preet\OneDrive\Desktop\Skool\Arbit\analysis\claim_002_healthy_episode_characterization\opus_tier_a\run_claim_002.py
# git_commit: 1717ffb3ed62e6b502d7c6ef2791545737673d89
# snapshot_id: tcs_infy_v1_2026-07-04
# timestamp_utc: 2026-07-09T10:41:43.721168+00:00
# output_content_sha256: 1de2009d05c90df76378a5dc3b521747455745861cbd80ec7bc2666296298562
window,metric,start,end,end_minus_start,slope_per_month,first_half_mean,second_half_mean
500d_strict,beta,0.9773806589082634,0.6661080794931697,-0.3112725794150937,-0.007268894413732982,0.7050398449966844,0.6573212649171107
500d_strict,half_life,13.654001803898636,13.219057268233021,-0.43494453566561475,0.02362807580843872,12.500907678578244,12.584909138507465
500d_strict,eg_p,0.003285387943339923,0.0432358068193637,0.039950418876023776,0.0010589562244162835,0.005549058956293984,0.014388147901729882
500d_strict,adf_p,2.910977907138891e-05,0.0007103093319635719,0.0006811995528921829,1.7343612051316824e-05,6.056390933803816e-05,0.00020731836240923943
500d_strict,spread_std,0.057201360140873646,0.040864650150836936,-0.01633670999003671,-0.00038285442195284557,0.04837630871704826,0.04466293636197213
500d_strict,spread_daily_change_std,0.017456409883209473,0.01289840810506896,-0.004558001778140513,-0.00012735788974849085,0.015713535150009728,0.014482032060540773
730d_strict,beta,0.7495151348775415,0.6639017263318384,-0.0856134085457031,-0.0018908932658865951,0.6829691132801853,0.658768526135005
730d_strict,half_life,17.704357491423384,17.256725720532902,-0.44763177089048156,0.017010213982278533,13.934412315787656,14.091773353783077
730d_strict,eg_p,0.006164301337835329,0.013158188162070537,0.006993886824235208,0.0001522348697729542,0.0008232816404997457,0.0024400093210652923
730d_strict,adf_p,6.103131305830431e-05,0.00015334063771354307,9.230932465523875e-05,1.6855709182309158e-06,7.159829217540237e-06,2.493704466924977e-05
730d_strict,spread_std,0.05852408673764799,0.037604885010895435,-0.020919201726752552,-0.0004929642812260606,0.04699771333845048,0.04086722100334783
730d_strict,spread_daily_change_std,0.015264966681064564,0.010593547347512727,-0.004671419333551837,-0.00013980032898910395,0.014426915268401482,0.012638182951014154
shoulder,beta,0.6768845403225504,0.5985476430923222,-0.07833689723022819,-0.008206067726482287,0.6762576841185309,0.6253280821001105
shoulder,half_life,13.026421625524636,16.260331149260537,3.2339095237359015,0.25700386228340133,15.256149943390843,16.294429916433288
shoulder,eg_p,0.054798650332854186,0.03985051615523341,-0.014948134177620774,0.001672740323168771,0.05482437929269015,0.05843135100421364
shoulder,adf_p,0.0009808085856401372,0.0006366713402356554,-0.0003441372454044818,4.6596940038026376e-05,0.0010096622229030208,0.0011518187812327811
shoulder,spread_std,0.039457938248310405,0.03596176978598302,-0.0034961684623273856,-0.00043071023453118647,0.04005188412555339,0.03663487773825551
shoulder,spread_daily_change_std,0.01268059408161822,0.009901092984948148,-0.002779501096670073,-0.0002390115891805022,0.011993510755611064,0.010440946179005215
