# script_path: C:\Users\preet\OneDrive\Desktop\Skool\Arbit\analysis\claim_002_healthy_episode_characterization\codex_tier_a\run_claim_002_healthy_episode_characterization.py
# git_commit: 1717ffb3ed62e6b502d7c6ef2791545737673d89
# snapshot_id: tcs_infy_v1_2026-07-04
# execution_timestamp_utc: 2026-07-09T09:55:42.568069+00:00
# output_name: episode_regime_summary.csv
# output_content_sha256: 07a1e078cc64698f007aae6d8e7b0f837971eb7c66eab06c5dd991c55080a2b6
# output_hash_scope: bytes after this provenance header
# final_file_sha256: recorded in provenance.json
basis,window_length,fixed_start_date,fixed_end_date,observation_count,start_observation_date,end_observation_date,metric,mean,std,min,q25,median,q75,max,start,end,end_minus_start,slope_per_month,median_absolute_monthly_change
500d_strict,500,2020-01-31,2021-12-31,24,2020-01-31,2021-12-31,beta,0.681180554956898,0.103646156153343,0.545092233079208,0.641206349864291,0.659426694105005,0.672137677906476,0.977380658908263,0.977380658908263,0.66610807949317,-0.311272579415094,-0.00726889441373298,0.0118253556368683
500d_strict,500,2020-01-31,2021-12-31,24,2020-01-31,2021-12-31,half_life,12.5429084085429,0.975983263069686,10.4974564366541,12.1022551400229,12.7039088619753,13.1192352590952,14.6427658283582,13.6540018038986,13.219057268233,-0.434944535665615,0.0236280758084387,0.512972448261912
500d_strict,500,2020-01-31,2021-12-31,24,2020-01-31,2021-12-31,phi,0.94593377246606,0.00420291548024618,0.936102769011693,0.94433262700219,0.946900042514569,0.948536949223473,0.953765756614185,0.950501888420371,0.948915574154357,-0.00158631426601352,0.000127120456997151,0.00191367086272698
500d_strict,500,2020-01-31,2021-12-31,24,2020-01-31,2021-12-31,eg_p,0.00996860342901193,0.0128362695090303,6.59510559955158e-05,0.00300143877400286,0.00464817485755361,0.0125239932412861,0.0480517294870434,0.00328538794333992,0.0432358068193637,0.0399504188760238,0.00105895622441628,0.00372275706293783
500d_strict,500,2020-01-31,2021-12-31,24,2020-01-31,2021-12-31,adf_p,0.000133941135873639,0.000215972666868943,4.02816394781791e-07,2.62964655631058e-05,4.3678137508154e-05,0.000144252046656282,0.000819445365898593,2.91097790713889e-05,0.000710309331963572,0.000681199552892183,1.73436120513168e-05,4.25125329408593e-05
500d_strict,500,2020-01-31,2021-12-31,24,2020-01-31,2021-12-31,spread_std,0.0465196225395102,0.00386338701875779,0.0408646501508369,0.0445827890999411,0.0457677264280089,0.0471893108322266,0.0572013601408736,0.0572013601408736,0.0408646501508369,-0.0163367099900367,-0.000382854421952846,0.000741108532183066
500d_strict,500,2020-01-31,2021-12-31,24,2020-01-31,2021-12-31,spread_daily_change_std,0.0150977836052753,0.00102011432278128,0.012898408105069,0.0147864798202488,0.0151418402798816,0.0153698049299504,0.0174564098832095,0.0174564098832095,0.012898408105069,-0.00455800177814051,-0.000127357889748491,0.000199148545873612
730d_strict,730,2020-12-31,2023-03-31,28,2020-12-31,2023-03-31,beta,0.670868819707595,0.0249542537746575,0.647703964008994,0.656310763253882,0.662591966025757,0.673370949985825,0.749515134877542,0.749515134877542,0.663901726331838,-0.0856134085457031,-0.0018908932658866,0.00442205538655005
730d_strict,730,2020-12-31,2023-03-31,28,2020-12-31,2023-03-31,half_life,14.0130928347854,1.54715402025254,11.7107080833353,13.4321696185445,13.6809784079108,14.3132561187556,17.7043574914234,17.7043574914234,17.2567257205329,-0.447631770890482,0.0170102139822785,0.377422881261321
730d_strict,730,2020-12-31,2023-03-31,28,2020-12-31,2023-03-31,phi,0.951235049312762,0.00490619564740633,0.942528447021326,0.949705005473354,0.95059700089769,0.952724281620056,0.961605284990016,0.961605284990016,0.960629207875072,-0.000976077114943963,9.56246698238447e-05,0.00136152357037977
730d_strict,730,2020-12-31,2023-03-31,28,2020-12-31,2023-03-31,eg_p,0.00163164548078252,0.00303581261483744,1.86517862985468e-05,9.95430163025877e-05,0.000328203126253033,0.00156720943406239,0.0131581881620705,0.00616430133783533,0.0131581881620705,0.00699388682423521,0.000152234869772954,0.000256368214333406
730d_strict,730,2020-12-31,2023-03-31,28,2020-12-31,2023-03-31,adf_p,1.6048436943395e-05,3.40631165598604e-05,1.09240479031749e-07,6.20416422693209e-07,2.21632952893733e-06,1.24758704630822e-05,0.000153340637713543,6.10313130583043e-05,0.000153340637713543,9.23093246552388e-05,1.68557091823092e-06,1.93194276770342e-06
730d_strict,730,2020-12-31,2023-03-31,28,2020-12-31,2023-03-31,spread_std,0.0439324671708992,0.0050368321115799,0.0371322130577972,0.0421705979653906,0.0437043388336738,0.0450198607820347,0.058524086737648,0.058524086737648,0.0376048850108954,-0.0209192017267526,-0.000492964281226061,0.000519837561447738
730d_strict,730,2020-12-31,2023-03-31,28,2020-12-31,2023-03-31,spread_daily_change_std,0.0135325491097078,0.00122874632210642,0.0105935473475127,0.0132326029387564,0.0139065407011933,0.0142615396004369,0.0152649666810646,0.0152649666810646,0.0105935473475127,-0.00467141933355184,-0.000139800328989104,0.000101230441482355
