date,beta
2020-12-31,0.7495151348775403
2021-01-29,0.7358143826225101
2021-02-26,0.7194273732621446
2021-03-31,0.6851760180634124
2021-04-30,0.682809456399282
2021-05-31,0.6788933288305262
2021-06-30,0.6736738242611243
2021-07-30,0.6616587646469241
2021-08-31,0.6575012569573068
2021-09-30,0.6717290879504876
2021-10-29,0.6701342766275815
2021-11-30,0.6635251674045914
2021-12-31,0.656491627536004
2022-01-31,0.6552178864831841
2022-02-28,0.6542480221655663
2022-03-31,0.647703964008996
2022-04-29,0.6513461150209561
2022-05-31,0.6557681704075018
2022-06-30,0.6594610612445725
2022-07-29,0.657131398524258
2022-08-30,0.6539312642624378
2022-09-30,0.6492231030159163
2022-10-31,0.6569430046043878
2022-11-30,0.6603964284623689
2022-12-30,0.6680704936165515
2023-01-31,0.671364622330651
2023-02-28,0.6732699918940531
2023-03-31,0.663901726331841
