date,beta
2020-12-31,0.7495151348775415
2021-01-29,0.7358143826225073
2021-02-26,0.7194273732621387
2021-03-31,0.6851760180634137
2021-04-30,0.682809456399286
2021-05-31,0.6788933288305233
2021-06-30,0.6736738242611224
2021-07-30,0.6616587646469271
2021-08-31,0.6575012569573009
2021-09-30,0.6717290879504797
2021-10-29,0.6701342766275765
2021-11-30,0.6635251674045862
2021-12-31,0.6564916275360064
2022-01-31,0.6552178864831834
2022-02-28,0.6542480221655678
2022-03-31,0.6477039640089935
2022-04-29,0.6513461150209594
2022-05-31,0.6557681704075095
2022-06-30,0.6594610612445746
2022-07-29,0.6571313985242591
2022-08-30,0.6539312642624344
2022-09-30,0.6492231030159168
2022-10-31,0.6569430046043868
2022-11-30,0.6603964284623685
2022-12-30,0.668070493616553
2023-01-31,0.6713646223306496
2023-02-28,0.6732699918940592
2023-03-31,0.6639017263318384
