# script_path: C:\Users\preet\OneDrive\Desktop\Skool\Arbit\analysis\claim_002_healthy_episode_characterization\codex_tier_a\run_claim_002_healthy_episode_characterization.py
# git_commit: 1717ffb3ed62e6b502d7c6ef2791545737673d89
# snapshot_id: tcs_infy_v1_2026-07-04
# execution_timestamp_utc: 2026-07-09T09:55:42.568069+00:00
# output_name: degradation_diagnostics.csv
# output_content_sha256: 12704321e363158e1722dab97f27cad123ea467483c12f6f5bf87bb3d5e51165
# output_hash_scope: bytes after this provenance header
# final_file_sha256: recorded in provenance.json
basis,window_length,diagnostic_start_date,diagnostic_end_date,observation_count,metric,start,end,end_minus_start,slope_per_month,first_half_mean,second_half_mean,first_half_count,second_half_count
500d_strict,500,2020-01-31,2021-12-31,24,beta,0.977380658908263,0.66610807949317,-0.311272579415094,-0.00726889441373298,0.705039844996684,0.657321264917111,12,12
500d_strict,500,2020-01-31,2021-12-31,24,half_life,13.6540018038986,13.219057268233,-0.434944535665615,0.0236280758084387,12.5009076785782,12.5849091385075,12,12
500d_strict,500,2020-01-31,2021-12-31,24,eg_p,0.00328538794333992,0.0432358068193637,0.0399504188760238,0.00105895622441628,0.00554905895629398,0.0143881479017299,12,12
500d_strict,500,2020-01-31,2021-12-31,24,adf_p,2.91097790713889e-05,0.000710309331963572,0.000681199552892183,1.73436120513168e-05,6.05639093380382e-05,0.000207318362409239,12,12
500d_strict,500,2020-01-31,2021-12-31,24,spread_std,0.0572013601408736,0.0408646501508369,-0.0163367099900367,-0.000382854421952846,0.0483763087170483,0.0446629363619721,12,12
500d_strict,500,2020-01-31,2021-12-31,24,spread_daily_change_std,0.0174564098832095,0.012898408105069,-0.00455800177814051,-0.000127357889748491,0.0157135351500097,0.0144820320605408,12,12
730d_strict,730,2020-12-31,2023-03-31,28,beta,0.749515134877542,0.663901726331838,-0.0856134085457031,-0.0018908932658866,0.682969113280185,0.658768526135005,14,14
730d_strict,730,2020-12-31,2023-03-31,28,half_life,17.7043574914234,17.2567257205329,-0.447631770890482,0.0170102139822785,13.9344123157877,14.0917733537831,14,14
730d_strict,730,2020-12-31,2023-03-31,28,eg_p,0.00616430133783533,0.0131581881620705,0.00699388682423521,0.000152234869772954,0.000823281640499746,0.00244000932106529,14,14
730d_strict,730,2020-12-31,2023-03-31,28,adf_p,6.10313130583043e-05,0.000153340637713543,9.23093246552388e-05,1.68557091823092e-06,7.15982921754024e-06,2.49370446692498e-05,14,14
730d_strict,730,2020-12-31,2023-03-31,28,spread_std,0.058524086737648,0.0376048850108954,-0.0209192017267526,-0.000492964281226061,0.0469977133384505,0.0408672210033478,14,14
730d_strict,730,2020-12-31,2023-03-31,28,spread_daily_change_std,0.0152649666810646,0.0105935473475127,-0.00467141933355184,-0.000139800328989104,0.0144269152684015,0.0126381829510142,14,14
500d_post_core_shoulder,500,2022-01-31,2023-01-31,13,beta,0.67688454032255,0.598547643092322,-0.0783368972302282,-0.00820606772648229,0.676257684118531,0.62532808210011,6,7
500d_post_core_shoulder,500,2022-01-31,2023-01-31,13,half_life,13.0264216255246,16.2603311492605,3.2339095237359,0.257003862283401,15.2561499433908,16.2944299164333,6,7
500d_post_core_shoulder,500,2022-01-31,2023-01-31,13,eg_p,0.0547986503328542,0.0398505161552334,-0.0149481341776208,0.00167274032316877,0.0548243792926901,0.0584313510042136,6,7
500d_post_core_shoulder,500,2022-01-31,2023-01-31,13,adf_p,0.000980808585640137,0.000636671340235655,-0.000344137245404482,4.65969400380264e-05,0.00100966222290302,0.00115181878123278,6,7
500d_post_core_shoulder,500,2022-01-31,2023-01-31,13,spread_std,0.0394579382483104,0.035961769785983,-0.00349616846232739,-0.000430710234531186,0.0400518841255534,0.0366348777382555,6,7
500d_post_core_shoulder,500,2022-01-31,2023-01-31,13,spread_daily_change_std,0.0126805940816182,0.00990109298494815,-0.00277950109667007,-0.000239011589180502,0.0119935107556111,0.0104409461790052,6,7
