date,ticker,open,high,low,close,volume
2018-01-01,INFY.NS,408.08094545999677,410.75510030776525,405.05289929822709,406.448974609375,5431340
2018-01-01,TCS.NS,1084.1063502864761,1089.1584805969912,1064.9890694566027,1069.2733154296875,1351760
2018-01-02,INFY.NS,407.90394082067246,409.77190295024411,402.30005443195751,404.93484497070312,6112248
2018-01-02,TCS.NS,1075.0932521263255,1078.9733273932384,1059.0072506491017,1063.453125,1920290
2018-01-03,INFY.NS,404.46303446624773,405.68211616995177,400.56979779556065,401.631591796875,6846552
2018-01-03,TCS.NS,1063.7762960646417,1078.730598098985,1063.4529400695603,1066.4639892578125,1257120
2018-01-04,INFY.NS,401.51349848289709,401.51349848289709,397.03038027987981,399.311279296875,8947614
2018-01-04,TCS.NS,1071.0513717025487,1075.9014156498811,1067.0096684131054,1073.9210205078125,913082
2018-01-05,INFY.NS,399.27198046085834,403.63712737130612,395.61471207810956,397.9742431640625,11025976
2018-01-05,TCS.NS,1071.0514393012488,1091.0578718466872,1071.0514393012488,1086.8948974609375,1153706
2018-01-08,INFY.NS,403.0472326148822,408.5921209010333,401.13993064235058,407.43203735351562,5594690
2018-01-08,TCS.NS,1091.2600639205223,1102.1120784703858,1083.9244107383772,1097.080078125,1242220
2018-01-09,INFY.NS,408.98544194119643,410.91240218206951,404.62031845989725,409.51632690429688,9948236
2018-01-09,TCS.NS,1097.3229723620916,1099.7479955054332,1081.7826354533995,1094.89794921875,2149396
2018-01-10,INFY.NS,411.65957371400918,415.27750245010691,406.2523145675234,413.80279541015625,9468634
2018-01-10,TCS.NS,1095.7061133189641,1138.1440114740697,1089.0978868507548,1134.3448486328125,3365850
2018-01-11,INFY.NS,414.98249138427366,426.0526333069231,414.98249138427366,423.06390380859375,16775298
2018-01-11,TCS.NS,1135.718724452943,1140.5283123216116,1124.4827685829048,1127.83740234375,2520744
2018-01-12,INFY.NS,426.99651268972372,427.0358286085206,420.99937092725446,424.10604858398438,18016528
2018-01-12,TCS.NS,1133.6976027815858,1133.6976027815858,1107.6488487199299,1122.1181640625,3360314
2018-01-15,INFY.NS,424.71562410767524,429.8082598429778,418.85611191486214,425.16787719726562,10649250
2018-01-15,TCS.NS,1122.4419924031977,1134.9106909959135,1105.4264746523982,1109.892578125,1457214
2018-01-16,INFY.NS,425.20718272399279,446.26601777318518,425.20718272399279,441.56658935546875,22646966
2018-01-16,TCS.NS,1113.8934093294883,1156.5939644517696,1111.6907008057151,1152.22900390625,4267752
2018-01-17,INFY.NS,442.35313103695063,456.88394042974289,441.62561847034806,453.0693359375,26154088
2018-01-17,TCS.NS,1159.9690424493451,1182.1984143429736,1156.7962653547618,1167.6280517578125,4280806
2018-01-18,INFY.NS,450.27737294764182,458.1031639648977,445.20436936325359,453.305419921875,13204970
2018-01-18,TCS.NS,1170.8816802667995,1185.4318150578263,1159.180966607232,1179.4500732421875,2209478
2018-01-19,INFY.NS,450.27722836912267,451.41767811180114,446.73793137757497,449.66766357421875,5988278
2018-01-19,TCS.NS,1184.4412614056298,1205.2358030616042,1173.569021415499,1196.0611572265625,1820000
2018-01-22,INFY.NS,445.22384364238576,454.9765429093203,445.16484576681387,452.24343872070312,9650214
2018-01-22,TCS.NS,1199.586127925179,1269.9569661038558,1183.7861080031655,1262.5430908203125,4367110
2018-01-23,INFY.NS,454.20970541449412,467.18712556919394,454.20970541449412,462.900634765625,15403796
2018-01-23,TCS.NS,1261.9555028236869,1273.0560874803116,1251.8678387279456,1256.7091064453125,3239610
2018-01-24,INFY.NS,461.9962144131091,480.18426687184063,459.12543233662825,466.322021484375,20604718
2018-01-24,TCS.NS,1251.8476552087868,1320.3346802050391,1248.8699197665435,1286.12158203125,5621538
2018-01-25,INFY.NS,464.8276217984714,465.37818865028908,457.06083200953753,462.23214721679688,13548914
2018-01-25,TCS.NS,1286.2835522728299,1288.2281897083335,1248.2014565519964,1264.4268798828125,3833844
2018-01-29,INFY.NS,458.75183665922589,470.43149597815017,458.22090377718092,465.18154907226562,10823002
2018-01-29,TCS.NS,1268.6199141477407,1306.5399983132977,1264.8117441036018,1295.9459228515625,3141060
2018-01-30,INFY.NS,463.60849062252339,465.26014299605612,457.2377286000883,460.3641357421875,8628312
2018-01-30,TCS.NS,1288.3091400901064,1297.9512219894348,1273.6029499357069,1277.3099365234375,1574758
2018-01-31,INFY.NS,455.84168551862888,458.77141698366131,449.15634842627634,452.34170532226562,9213698
2018-01-31,TCS.NS,1270.8884805257783,1276.1551525840619,1255.3315810861907,1260.902099609375,3043214
2018-02-01,INFY.NS,449.17602055274017,455.35015531266293,439.87557450533177,450.11984252929688,13005454
2018-02-01,TCS.NS,1265.6219471727184,1292.3604390143955,1251.3614379721637,1271.536865234375,2400630
2018-02-02,INFY.NS,446.44294778476416,457.31646322694411,444.41767398553264,449.5889892578125,10244486
2018-02-02,TCS.NS,1264.0012510305905,1292.3602534575589,1257.2963528179728,1277.6337890625,2456490
2018-02-05,INFY.NS,448.31093643656345,454.15076666550357,446.67891772489418,447.60305786132812,9860220
2018-02-05,TCS.NS,1259.9499626574668,1291.5499938752423,1246.5199889532523,1257.195068359375,2757742
2018-02-06,INFY.NS,432.5610387195814,443.72949601813423,430.67344255947864,435.62844848632812,10552078
2018-02-06,TCS.NS,1219.4373634816291,1246.6417155986096,1209.3091461769643,1214.27197265625,2657306
2018-02-07,INFY.NS,438.87278326904294,442.33344807379444,433.97677545330419,436.13967895507812,8342056
2018-02-07,TCS.NS,1226.3245261335514,1227.9450408691093,1194.0965195484666,1197.175537109375,2180324
2018-02-08,INFY.NS,441.54702069011449,450.82783513183642,439.08917533982844,446.04977416992188,8807244
2018-02-08,TCS.NS,1207.1820775068927,1226.567522694435,1198.7756581400772,1204.93359375,2755004
2018-02-09,INFY.NS,439.65934580483258,440.5638520330013,434.94028305916351,436.17904663085938,4382690
2018-02-09,TCS.NS,1195.1295045391985,1212.9551649458849,1173.515851732747,1203.9207763671875,2102458
2018-02-12,INFY.NS,438.40085495403298,440.68170599271804,431.71551748741467,433.68179321289062,6291972
2018-02-12,TCS.NS,1206.5948434953293,1224.8459114616398,1197.3781654442648,1202.138427734375,1974562
2018-02-14,INFY.NS,434.94015546714871,439.38395745095619,428.72670547285105,431.69580078125,8345712
2018-02-14,TCS.NS,1203.2322799546196,1205.035082949307,1171.8348046359386,1179.65380859375,2847532
2018-02-15,INFY.NS,433.76049172721531,444.26038651362069,433.76049172721531,438.26324462890625,7986736
2018-02-15,TCS.NS,1187.8169285511522,1192.2936199265005,1176.9392836165139,1185.345703125,2465236
2018-02-16,INFY.NS,442.41206376678855,448.95977191149325,439.69859350806263,443.61151123046875,9889222
2018-02-16,TCS.NS,1184.1911322945757,1215.2240287630771,1184.1911322945757,1188.2626953125,2515756
2018-02-19,INFY.NS,443.74916355958345,446.73789338621049,440.56380613903639,445.06655883789062,6461840
2018-02-19,TCS.NS,1193.1044098212069,1196.4669989073077,1172.9289742130075,1184.4346923828125,1568224
2018-02-20,INFY.NS,434.05548651965546,452.0469143867216,434.05548651965546,447.11154174804688,7188594
2018-02-20,TCS.NS,1186.2167801277697,1209.3293912025752,1186.1762276962481,1193.002685546875,1889068
2018-02-21,INFY.NS,451.26029369803786,452.99062599378368,448.31088001373695,451.22097778320312,13771358
2018-02-21,TCS.NS,1204.852641799253,1240.7470808459257,1199.2011167412825,1232.52294921875,3089228
2018-02-22,INFY.NS,450.4935480056717,457.74908779850045,448.48790792849667,456.47100830078125,17859974
2018-02-22,TCS.NS,1236.4528843083817,1247.3913600214637,1224.5015867700145,1235.7236328125,3463010
2018-02-23,INFY.NS,457.55249831389494,458.53563647099401,450.96547266133132,454.4654541015625,9459828
2018-02-23,TCS.NS,1235.6426296607121,1251.442650171128,1212.1857156970632,1246.094970703125,3362500
2018-02-26,INFY.NS,452.63665766952909,454.22936015863496,446.08895011010486,447.76028442382812,5083608
2018-02-26,TCS.NS,1245.7706060545297,1251.8272596258703,1223.9746647750576,1228.228515625,1363882
2018-02-27,INFY.NS,450.25749285335354,453.6788416744601,442.66769678817906,452.32208251953125,6616026
2018-02-27,TCS.NS,1231.9962496386861,1247.208850536417,1228.3500917147308,1232.543212890625,1717800
2018-02-28,INFY.NS,451.2997818509744,467.77718885681037,449.3138713484924,461.13116455078125,17268416
2018-02-28,TCS.NS,1229.5657833506884,1241.2942411400163,1224.0762688855175,1229.5860595703125,2706864
2018-03-01,INFY.NS,459.95130748592032,459.95130748592032,454.62272792137981,456.47100830078125,6579852
2018-03-01,TCS.NS,1235.2372753642198,1240.1798251986322,1223.4885443095911,1230.6593017578125,1718124
2018-03-05,INFY.NS,456.47109086571072,460.42332584467079,449.58912309474374,454.56381225585938,8101456
2018-03-05,TCS.NS,1235.2375560878452,1261.4290901555432,1228.7352198826816,1258.2691650390625,2858168
2018-03-06,INFY.NS,457.17883995453508,458.2996076441421,449.7266253073895,452.77435302734375,6689734
2018-03-06,TCS.NS,1264.8118833449448,1266.8375269761827,1227.6007702757524,1232.7257080078125,1906764
2018-03-07,INFY.NS,454.20970860713618,456.17598440197224,447.54405286455392,449.9232177734375,6370416
2018-03-07,TCS.NS,1243.7447101654095,1251.4421529970521,1222.8805888059571,1226.5064697265625,1917772
2018-03-08,INFY.NS,451.85029128963725,458.45699882372639,451.85029128963725,454.85870361328125,6093014
2018-03-08,TCS.NS,1237.6274912901963,1237.6274912901963,1210.3218594471032,1216.9862060546875,1951826
2018-03-09,INFY.NS,457.10009391459403,458.53548474997257,454.42598781497321,457.51303100585938,4220964
2018-03-09,TCS.NS,1217.4115230653781,1240.9899893543909,1206.1489274630023,1229.2008056640625,1872436
2018-03-12,INFY.NS,462.4681298426629,468.70121535905776,460.79679518974513,466.3023681640625,7676970
2018-03-12,TCS.NS,1232.8065399757438,1249.376262977303,1229.7680749577294,1236.513427734375,2091340
2018-03-13,INFY.NS,464.11982619425521,470.72653358686449,462.1339159874276,465.53558349609375,8581052
2018-03-13,TCS.NS,1184.9606089527326,1190.9565320466656,1163.5293454607545,1169.5252685546875,88067154
2018-03-14,INFY.NS,464.04121154780142,468.20970774549255,459.75471956898605,464.3558349609375,4429710
2018-03-14,TCS.NS,1172.0168438780179,1184.2112551367429,1164.7650810045716,1169.5657958984375,3668668
2018-03-15,INFY.NS,464.04106259497229,467.34441535338351,460.89502149263348,465.02420043945312,6101500
2018-03-15,TCS.NS,1172.8478002203622,1175.9065422444114,1156.885766095055,1162.5980224609375,2348906
2018-03-16,INFY.NS,464.82770336675105,464.98501506698733,459.81369895226197,460.8558349609375,17954826
2018-03-16,TCS.NS,1162.2331804502617,1163.5295724484747,1136.3859508070932,1144.7720947265625,7197482
2018-03-19,INFY.NS,457.74901417644293,464.23772442894409,449.35302596582954,450.96536254882812,7526620
2018-03-19,TCS.NS,1146.1094201026306,1153.8068676042035,1142.46326075978,1146.919677734375,3489940
2018-03-20,INFY.NS,451.69288320379798,460.10855352739213,451.69288320379798,457.96533203125,8553766
2018-03-20,TCS.NS,1142.4629939291449,1164.0158221180473,1142.0578652078934,1160.633056640625,4024984
2018-03-21,INFY.NS,460.10862637178798,462.27153017097163,457.04121632739356,459.12548828125,7692994
2018-03-21,TCS.NS,1163.7320948585996,1168.5126329063587,1154.6166998597073,1157.351318359375,3907678
2018-03-22,INFY.NS,457.94562262111117,463.03825761666059,454.32769443949832,456.68722534179688,6813168
2018-03-22,TCS.NS,1158.6477784279812,1165.1298374749417,1143.4960049690599,1147.0611572265625,2326094
2018-03-23,INFY.NS,451.06368686225034,461.60294478073541,449.23504069293341,459.16473388671875,12008084
2018-03-23,TCS.NS,1135.1705901218229,1148.1752606426701,1133.5703515769517,1141.71337890625,3654122
2018-03-26,INFY.NS,458.8894768587453,458.8894768587453,449.88392368061568,454.30804443359375,8930722
2018-03-26,TCS.NS,1142.0575716873834,1145.4606125079279,1126.8855247575634,1141.247314453125,2964210
2018-03-27,INFY.NS,456.17609033964743,456.68734136694457,452.28285376079043,453.81655883789062,3802088
2018-03-27,TCS.NS,1144.4888984471174,1159.8837933642824,1143.6989170422592,1153.685302734375,2494574
2018-03-28,INFY.NS,452.53837828631538,452.53837828631538,442.90362680422567,445.08621215820312,12558322
2018-03-28,TCS.NS,1148.9041408528312,1164.7447084511057,1144.4882787389124,1154.2720947265625,6865654
2018-04-02,INFY.NS,448.70426979325822,452.06662160405625,440.95716006009519,447.19024658203125,8072702
2018-04-02,TCS.NS,1150.5656588235236,1180.5451865534321,1150.5656588235236,1178.7828369140625,1662988
2018-04-03,INFY.NS,446.22660633918673,449.70695287382819,443.63113191038042,448.48782348632812,4077168
2018-04-03,TCS.NS,1171.6724907561811,1186.9862730641282,1171.6724907561811,1179.4306640625,1937290
2018-04-04,INFY.NS,449.88397629998587,450.10028587512227,440.44585092306312,442.09750366210938,4813302
2018-04-04,TCS.NS,1186.8039737741713,1188.6473287111364,1171.6319272776436,1179.288818359375,2841820
2018-04-05,INFY.NS,448.13392705002559,452.75467507969989,444.02438191438392,451.27996826171875,7763544
2018-04-05,TCS.NS,1185.6295825421905,1200.7003525077207,1183.1178040326668,1198.3505859375,1809424
2018-04-06,INFY.NS,449.49072252085699,450.67048819676478,441.27167871107531,443.19863891601562,5937742
2018-04-06,TCS.NS,1196.7501771080783,1199.1809493026108,1185.6294140997679,1195.251220703125,1129018
2018-04-09,INFY.NS,442.41211143467905,442.72673480472491,435.15657200906486,437.00485229492188,7202882
2018-04-09,TCS.NS,1190.9568394812989,1200.598922483867,1180.950180205997,1184.5557861328125,1235866
2018-04-10,INFY.NS,437.29974444612435,442.21543401948458,434.70426995234635,437.85031127929688,8926058
2018-04-10,TCS.NS,1185.2851099221818,1198.0669411821905,1185.2851099221818,1190.106201171875,1184532
2018-04-11,INFY.NS,439.65931199141443,444.9682571719905,439.0694291935726,442.11715698242188,9025574
2018-04-11,TCS.NS,1195.3729216434651,1225.5144608867129,1193.3472779064623,1221.1187744140625,3124416
2018-04-12,INFY.NS,444.16209648291266,461.19006699666392,442.41212992645228,457.19851684570312,17044366
2018-04-12,TCS.NS,1219.4376416976088,1276.1556715440092,1218.6071079074648,1271.800537109375,6114360
2018-04-13,INFY.NS,461.68156132255473,466.36130736281103,452.34175120210267,460.67874145507812,21227038
2018-04-13,TCS.NS,1276.1551212352945,1312.9408187973347,1268.9033586811395,1277.4920654296875,8179118
2018-04-16,INFY.NS,433.36723657231892,448.31093438515751,433.36723657231892,445.63677978515625,24745084
2018-04-16,TCS.NS,1262.3805384765146,1296.3910598389757,1260.2536136283113,1291.407958984375,6270274
2018-04-17,INFY.NS,443.19857063707644,443.35588230391977,438.47950866046159,442.49069213867188,10397940
2018-04-17,TCS.NS,1291.4084954703576,1294.3659548409923,1275.0210588995119,1282.880615234375,3301724
2018-04-18,INFY.NS,441.56665439191352,446.246401537081,438.0273570895705,442.78573608398438,10430380
2018-04-18,TCS.NS,1282.6371446452206,1293.757904907932,1274.473842937366,1279.841796875,2433066
2018-04-19,INFY.NS,442.01881629562473,448.23226725685328,441.66487703749209,445.49911499023438,8525542
2018-04-19,TCS.NS,1288.2687181245001,1303.3800384696383,1282.5361865625682,1292.826416015625,4820952
2018-04-20,INFY.NS,447.91762188023819,469.42865967292596,447.1114296099729,463.4315185546875,24272692
2018-04-20,TCS.NS,1316.6683229965195,1386.492296550163,1312.617035848838,1378.43017578125,18465662
2018-04-23,INFY.NS,459.32207508645234,477.56912602646025,454.30807127022609,467.06918334960938,21830638
2018-04-23,TCS.NS,1387.1605369783188,1441.4072251899136,1373.2038743712933,1380.9417724609375,15185910
2018-04-24,INFY.NS,466.00740600427338,470.49052482754985,452.28279009989944,454.01312255859375,8526216
2018-04-24,TCS.NS,1381.4890703683732,1394.9190491870445,1354.142879092753,1371.6241455078125,8314336
2018-04-25,INFY.NS,453.0299883636855,460.50183713010045,450.35583381379143,456.31365966796875,11594178
