date,window_length,beta
2022-12-30,730,0.6680704936165515
2023-01-31,60,0.35821738112721047
2023-01-31,120,0.7575060538659087
2023-01-31,250,0.6750718178039995
2023-01-31,500,0.5985476430923178
2023-01-31,730,0.671364622330651
2023-02-28,60,0.9442947936800339
2023-02-28,120,0.8890299985134518
2023-02-28,250,0.6387181641624428
2023-02-28,500,0.643719760274494
2023-02-28,730,0.6732699918940531
2023-03-31,60,0.8034206423998178
2023-03-31,120,0.5717077690988805
2023-03-31,250,0.6912118610020155
2023-03-31,500,0.6318006835013321
2023-03-31,730,0.663901726331841
2023-04-28,60,0.4430126562691816
2023-04-28,120,0.29609828047262976
2023-04-28,250,0.45275994624744786
2023-04-28,500,0.5884179573811317
2023-04-28,730,0.6640011992470488
2023-05-31,60,0.11108440208378556
2023-05-31,120,0.22572570194604658
2023-05-31,250,0.24792748669092424
2023-05-31,500,0.4924045940203549
2023-05-31,730,0.6689102439745952
2023-06-30,60,0.1435932507123292
2023-06-30,120,0.28556830636832065
2023-06-30,250,0.17890468221567302
2023-06-30,500,0.4395473960780258
2023-06-30,730,0.6667701355612055
2023-07-31,60,0.5379855964727085
2023-07-31,120,0.31575615378126975
2023-07-31,250,0.15162790047682073
2023-07-31,500,0.40716396409088
2023-07-31,730,0.6262438321342845
2023-08-31,60,0.6398331931806407
2023-08-31,120,0.35970447803328676
2023-08-31,250,0.1436349115891013
2023-08-31,500,0.3919573011903023
2023-08-31,730,0.5794374571278266
2023-09-29,60,0.5001349114559626
2023-09-29,120,0.5762357740313007
2023-09-29,250,0.16980811430823795
2023-09-29,500,0.36565294026921225
2023-09-29,730,0.5600713563985662
2023-10-31,60,0.6401202260999312
2023-10-31,120,0.6166274648403618
2023-10-31,250,0.18559807655469907
2023-10-31,500,0.34381025953300465
2023-10-31,730,0.5211958875236236
2023-11-30,60,0.8088963170261989
2023-11-30,120,0.6716450959957678
2023-11-30,250,0.26933771117689187
2023-11-30,500,0.3521506656315356
2023-11-30,730,0.47356692125293576
2023-12-29,60,1.0099934767224266
2023-12-29,120,0.7828910634097186
2023-12-29,250,0.4786356246054593
2023-12-29,500,0.37868607389905595
2023-12-29,730,0.46228749971348115
